PLAYER_NAME,Final_Cluster,Archetype,PTS,AST,REB,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,MIN,PTS_36,AST_36,REB_36,STL_36,FG_PCT,THREE_PT_RATE,PURE_PLAYMAKER,FT_RATE,PAINT_PROTECTOR,BLK_36,GUARD_INDEX,BIG_INDEX,DEFENSIVE_VERSATILITY
AJ Green,1,Role-Playing Three-Point Facilitating Shooters,7.4,1.5,2.4,0.5,0.1,0.429,0.427,0.815,22.7,11.73568281938326,2.3788546255506606,3.8061674008810575,0.7929515418502203,0.429,0.8611327723212793,0.186786579038395,0.06889062178570234,3.4889867841409696,0.15859030837004406,0.6599450045829514,1.1734028683181226,0.9515418502202644
Aaron Gordon,1,Role-Playing Three-Point Facilitating Shooters,14.7,3.2,4.8,0.5,0.3,0.531,0.436,0.81,28.4,18.633802816901408,4.056338028169015,6.084507042253521,0.6338028169014085,0.531,0.3502306257224938,0.20659971305595415,0.36053152647903763,4.563380281690141,0.38028169014084506,0.6620278330019883,1.278551532033426,1.0140845070422535
Aaron Holiday,1,Role-Playing Three-Point Facilitating Shooters,5.5,1.3,1.3,0.3,0.2,0.437,0.398,0.829,12.8,15.46875,3.65625,3.65625,0.8437499999999999,0.437,0.6738614065888671,0.222011385199241,0.1626562015904162,3.375,0.5625,0.9664429530201343,0.9060402684563759,1.40625
Aaron Nesmith,3,Role-Playing Three-Point Forward Shooters,12.0,1.2,4.0,0.8,0.4,0.507,0.431,0.913,24.9,17.34939759036145,1.7349397590361446,5.783132530120482,1.1566265060240966,0.507,0.5114835998136454,0.09455022980958633,0.21410941387547952,5.060240963855422,0.5783132530120483,0.42628774422735355,2.3259911894273126,1.7349397590361448
Aaron Wiggins,3,Role-Playing Three-Point Forward Shooters,12.0,1.8,3.9,0.8,0.2,0.488,0.383,0.831,22.9,18.8646288209607,2.8296943231441047,6.131004366812228,1.2576419213973802,0.488,0.46843960454444245,0.1424488898659046,0.124917227878518,4.716157205240174,0.31441048034934505,0.573178199632578,1.6830102622576968,1.5720524017467252
Adam Flagler,1,Role-Playing Three-Point Facilitating Shooters,1.8,0.3,0.7,0.2,0.1,0.26,0.194,0.5,5.5,11.781818181818181,1.9636363636363636,4.581818181818181,1.3090909090909093,0.26,0.7303400779456516,0.15362731152204837,0.03843895147082377,3.9272727272727277,0.6545454545454547,0.5863192182410425,1.7668711656441713,1.9636363636363638
Adem Bona,2,Offensive Mid-Range Centers,5.8,0.5,4.2,0.4,1.2,0.703,0.0,0.67,15.6,13.384615384615385,1.153846153846154,9.692307692307693,0.9230769230769231,0.703,0.0,0.08021390374331551,0.5144759406839504,8.76923076923077,2.769230769230769,0.19424460431654675,5.785714285714286,3.6923076923076925
Ajay Mitchell,0,Elite Perimeter Playmaking Scorers,6.5,1.8,1.9,0.7,0.1,0.495,0.383,0.829,16.6,14.096385542168674,3.903614457831325,4.120481927710843,1.5180722891566263,0.495,0.33303222576537556,0.2585794094173982,0.19590130927375035,3.2530120481927707,0.21686746987951805,1.0588235294117647,0.8845208845208845,1.7349397590361444
Al Horford,3,Role-Playing Three-Point Forward Shooters,9.0,2.1,6.2,0.6,0.9,0.423,0.363,0.895,27.6,11.73913043478261,2.739130434782609,8.08695652173913,0.7826086956521738,0.423,0.6746529429572287,0.2150170648464164,0.07784457034121868,7.434782608695651,1.1739130434782608,0.38755980861244016,2.476744186046511,1.9565217391304346
Alec Burks,3,Role-Playing Three-Point Forward Shooters,7.3,1.1,2.5,0.6,0.1,0.424,0.425,0.776,17.6,14.93181818181818,2.25,5.113636363636363,1.227272727272727,0.424,0.7629581785887292,0.14122681883024252,0.18165670918779267,4.704545454545454,0.20454545454545456,0.5687732342007434,1.6363636363636362,1.4318181818181817
Alex Caruso,4,Lockdown 3-and-D Wings,7.1,2.5,2.9,1.6,0.6,0.446,0.353,0.824,19.3,13.243523316062175,4.66321243523316,5.409326424870466,2.9844559585492227,0.446,0.533989176670989,0.327391778828665,0.15502911580770648,5.222797927461141,1.1191709844559585,1.1932093775262733,1.152790484903934,4.103626943005182
Alex Len,2,Offensive Mid-Range Centers,1.6,0.8,2.1,0.2,0.5,0.508,0.222,0.471,8.3,6.939759036144578,3.469879518072289,9.108433734939759,0.8674698795180722,0.508,0.14262226888259416,0.4370257966616085,0.2852445377651883,7.373493975903614,2.1686746987951806,0.42908224076281287,2.522911051212938,3.0361445783132526
Alex Sarr,2,Offensive Mid-Range Centers,13.0,2.4,6.5,0.7,1.5,0.394,0.308,0.679,27.1,17.269372693726936,3.188191881918819,8.634686346863468,0.9298892988929888,0.394,0.41104078841026165,0.17451019995960412,0.20149058255404986,8.103321033210332,1.992619926199262,0.42742244350823444,2.537444933920705,2.922509225092251
Alperen Sengun,3,Role-Playing Three-Point Forward Shooters,19.1,4.9,10.3,1.1,0.8,0.496,0.233,0.692,31.5,21.82857142857143,5.6,11.771428571428572,1.2571428571428571,0.496,0.07995336053968517,0.2453066332916145,0.3731156825185308,8.8,0.9142857142857143,0.5369127516778522,1.9220779220779223,2.1714285714285713
Amen Thompson,3,Role-Playing Three-Point Forward Shooters,14.1,3.8,8.2,1.4,1.3,0.557,0.275,0.684,32.3,15.715170278637773,4.235294117647059,9.139318885448915,1.5603715170278638,0.557,0.12859863212822495,0.2533802556028894,0.356119288970469,7.4674922600619205,1.448916408668731,0.5716030534351146,2.0224719101123596,3.0092879256965945
